Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Date,Author,img,rich,gallery,anounce,is_popular,date for event
"1 листопада 2021 року відбудеться онлайн-вебінар ""Mesopotamia Promotional Webinar”",1-listopada-2021-roku-vidbudetsya-onlayn-vebinar-mesopotamia-promotional-webinar,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36b017,false,false,Fri Oct 29 2021 13:30:04 GMT+0000 (Coordinated Universal Time),Fri Oct 29 2021 13:30:04 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Wed Oct 27 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/617bf70476da2f78aff2a257_%D0%BC%D0%B5%D1%81%D0%BE%D0%BF%D0%BE%D1%82%D0%B0%D0%BC%D1%96%D1%8F.png,"<p>1 листопада 2021 року о 10 год відбудеться онлайн-вебінар ""Mesopotamia Promotional Webinar”, під час якого турецькі колеги представлять туристичний потенціал Межиріччя та новий туристичний проєкт, який зацікавить українського туриста.</p><p>Враховуючи високий рівень зацікавленості українців до культурного туризму, Месопотамський регіон Туреччини може запропонувати багато цікавинок мандрівникам. Метою заходу є представлення туристичного потенціалу регіону на українському ринку задля подальшого його урізноманітнення маршрутами та продуктами, які пропонують українським туристам.</p><p>Під час вебінару учасники також матимуть змогу задати будь-які питання спікерам.</p><p>Захід організовано турецькою туристичною асоціацією <a href=""https://www.facebook.com/tursaborgtr/?__cft__[0]=AZU3qUribjHJH6P1Clc2ZGsu85pJhBlcpbyuCXTEue_NWx0ydXYQQW9Ye5N_8OQgKv3LLV0PboG-ctjGAZWFrrAinAc4FudlhS3gRBuViGE3e3MQFFxiO9cok82-qq-PzusDplQVx4YmCqVjcxCZwNdQkbjru-wIwtqCsk77Cy6XLg&__tn__=kK-R"">TÜRSAB</a> за підтримки <a href=""https://www.facebook.com/VISIT-Ukraine-108565787401909/?__cft__[0]=AZU3qUribjHJH6P1Clc2ZGsu85pJhBlcpbyuCXTEue_NWx0ydXYQQW9Ye5N_8OQgKv3LLV0PboG-ctjGAZWFrrAinAc4FudlhS3gRBuViGE3e3MQFFxiO9cok82-qq-PzusDplQVx4YmCqVjcxCZwNdQkbjru-wIwtqCsk77Cy6XLg&__tn__=kK-R"">VISIT Ukraine</a> та Державного агентства розвитку туризму України.</p><p>Усіх охочих просимо заповнити коротку форму реєстрації: <a href=""https://online.tursab.org.tr/mesopotamia-webinar?fbclid=IwAR0DiOqCTlCOARp5dx_oZZbgKXYTpDH3hvu5gSk1HRUqMovREkOfjQD58So"" target=""_blank"">https://online.tursab.org.tr/mesopotamia-webinar</a> . Після проходження реєстрації вам на пошту прийде лінк на доєднання до вебінару.</p><p>Участь у вебінарі абсолютно безкоштовна. Кількість учасників необмежена.</p>",,false,false,
"10 березня в межах форуму Україна 30 триватиме панель ""Мандруй Україною. Розвиток туризму в Україні""",10-bereznya-v-mezhah-forumu-ukrayina-30-trivatime-panel-mandruy-ukrayinoyu-rozvitok-turizmu-v-ukrayini,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36af7e,false,false,Tue Mar 09 2021 11:15:04 GMT+0000 (Coordinated Universal Time),Tue Mar 09 2021 11:24:26 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Tue Mar 09 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/60475776f00765de15e16e26_maxresdefault_live.jpg,"<p>Завтра під час <a href=""https://www.facebook.com/Forum.Ukraine30/?__cft__[0]=AZVaDvO9hCa7rTf-fzqF9QhGFMRBHQFoCvuzEDihm6PX-Rxuh7HaWBZ8ENrhSz7S18FvCr_TZczbHSYxiTl_5uJzXD4esWtwfgu9wpSn6-8i4wVE9Oxh7TEJrZeNVeT0EYVHQ0dnuh035LCq3-oGqacO&__tn__=kK-R"">Всеукраїнського Форуму «Україна 30. Культура. Медіа</a>» Голова Державного агентства розвитку туризму України Мар'яна Олеськів доєднається до панельної дискусії «Мандруй Україною. Розвиток туризму в Україні».</p><p>В обговоренні також візьмуть участь Голова підкомітету з питань туризму та курортів Комітету ВРУ з питань гуманітарної та інформаційної політики Дмитро Нальотов, заступник Міністра культури та інформаційної політики Лариса Петасюк, заступник Міністра захисту довкілля та природних ресурсів Богдан Боруховський, координатор зв‘язків із країнами-членами Всесвітньої Туристичної Організації ООН Бека Джакелі та представники туристичного бізнесу. </p><p>Дата: 10 березня 2020 року </p><p>Час: 11:50-12:50 </p><p>Деталі за посиланням: <a href=""https://ukraine30.com/culture/?fbclid=IwAR0WlRzD2Dn-79MB5EjlmPle0jM7NKNJ1vB-TVlmALDql_EbZNHe8nkobck"" target=""_blank"">https://ukraine30.com/culture/</a></p><p>Відеотрансляція буде доступна на офіційному YouTube-каналі: <a href=""https://cutt.ly/alxU2Zb?fbclid=IwAR37_FSomSbPVKzj5PJudBZ67Ztq5oj0J4HLYZ7eO1RFBfLjGSqPI3jpksg"" target=""_blank"">https://cutt.ly/alxU2Zb</a></p><p>Зауважимо, що захід триває в межах великого суспільного діалогу, ініційованого Президентом України з нагоди 30-річчя Незалежності України. Він складатиметься з 30 масштабних щотижневих форумів, під час яких підніматимуть нагальні державні питання.</p><p>Нагадаємо, що 24 лютого 2021 року в <a href=""https://www.tourism.gov.ua/blog/dart-ukravtodor-ta-ukrayinski-kompaniyi-pidpisali-memorandum-shchodo-rozvitku-infrastrukturi-girskih-kurortiv""><strong>межах</strong></a> Всеукраїнського Форуму «Україна 30. Інфраструктура» на панелі «МАНДРУЙ УКРАЇНОЮ. КАРПАТСЬКЕ КОЛО КУРОРТІВ» відбулось підписання Меморандуму про співробітництво між Державним агентством розвитку туризму, Державним агентством автомобільних доріг України та українськими компаніями «Буковель», «ОККО-Холдінг» та «Боржава Есет». Сторони домовилися про співпрацю задля реалізації Державної стратегії регіонального розвитку на 2021–2027 роки та проєкту «Велике будівництво».</p>",,false,false,
11 листопада відбудеться презентація плану проведення регіональних конференцій від ДАРТ,11-listopada-vidbudetsya-prezentaciya-planu-provedennya-regionalnih-konferenciy-vid-dart,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36b022,false,false,Thu Nov 11 2021 08:38:20 GMT+0000 (Coordinated Universal Time),Thu Nov 11 2021 08:54:31 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Thu Nov 11 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/618cda41202b1d02f542571c_%D1%81%D0%B0%D0%B9%D1%82.jpg,"<p>11 листопада 2021 року о 14:00 відбудеться презентація плану проведення регіональних конференцій у містах України. Під час зустрічі відбудеться, зокрема, обговорення із представниками регіональних державних та комерційних установ конкретних кроків та подальших завдань для проведення регіональних івентів.</p><p>Також передбачається виступ Голови Державного агентства розвитку туризму України Мар’яни Олеськів, яка представить план проведення тематичних туристичних конференцій у регіонах та створення регіональних комісій. </p><p>У межах заходу учасники матимуть змогу задати питання, які їх цікавлять та отримати відповіді безпосередньо у представників туристичного ринку. </p><p>Всіх охочих доєднатися просимо заповнити форму-реєстрації для отримання посилання на zoom зустріч: <a href=""https://forms.gle/iiPRAxiQCUmVwTNG8?fbclid=IwAR3UU39Ot38mG9cQ1MCaQ6D5KgVXDejlzeujYx0VEJzE9i29B9AsmqT0vGc"" target=""_blank"">https://forms.gle/iiPRAxiQCUmVwTNG8</a></p><div data-rt-embed-type='true'><iframe src=""https://docs.google.com/forms/d/e/1FAIpQLSff2X-CZEzr-2uOftCQGrK1fVXVIdWIEABFblKexswC4JTHbQ/viewform?embedded=true"" width=""640"" height=""2030"" frameborder=""0"" marginheight=""0"" marginwidth=""0"">Завантаження…</iframe></div>",,false,false,
12-13 липня відбудеться Перша Йорданська віртуальна інвестиційна конференція-виставка,12-13-lipnya-vidbudetsya-persha-yordanska-konferenciya-vistavka-vidnovlennya-investicii-u-drugomu-storichchi,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36afd7,false,false,Wed Jul 07 2021 10:24:29 GMT+0000 (Coordinated Universal Time),Wed Jul 07 2021 10:26:39 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Wed Jul 07 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/60e580a47c93b5043222e818_%D0%97%D0%BD%D1%96%D0%BC%D0%BE%D0%BA%20%D0%B5%D0%BA%D1%80%D0%B0%D0%BD%D0%B0%202021-07-07%20%D0%BE%2013.23.22.png,"<p>12-13 липня 2021 року відбудеться Перша Йорданська віртуальна інвестиційна конференція-виставка «Відновлення інвестицій у другому сторіччі».</p><p>Робота конференції буде зосереджена на двох основних напрямках:</p><p>1) плани Йорданії увійти у друге сторіччя своєї державності з чіткою програмою дій, спрямованих на покращення інвестиційного клімату Королівства;</p><p>2) подолання пандемії коронавірусної інфекції COVID-19 та пов’язаних з нею соціально-економічних наслідків, представлення можливостей для інвестування у різних секторах економіки Йорданії з урахуванням цілей сталого розвитку та створення партнерських відносин між державним та приватним сектором.</p><p>Програма конференції включатиме такі тематичні блоки:</p><ol><li>сучасний стан та майбутні тренди інвестиційного середовища у світі та в Йорданії;</li><li>можливості для інвестування, які створено Йорданською інвестиційною комісією та Урядом Королівства;</li><li>розвиток підприємництва, молоді та впровадження інновацій;</li><li>перехідвідтрадиційноїекономікидоекономікизнаньувідповідності до сучасних глобальних тенденцій;</li><li>стратегіїтаінструментиотриманняфінансування;</li><li>особливостідіяльностіпромисловихзонтазонрозвиткунатериторії Йорданії;</li><li>програми йорданського уряду та регіональних організацій з підтримки малого та середнього підприємництва;</li><li>перетворення Йорданії на хаб для виходу на світові ринки;</li><li>використання можливостей йорданської діаспори для залучення інвестицій.</li></ol><p>Для участі у конференції необхідно завантажити програмне забезпечення за посиланням та пройти реєстрацію:<a href=""https://events.jic.gov.jo/""> https://events.jic.gov.jo/</a><br></p>",,false,false,
13 травня відбудеться сьоме засідання Комісії з категоризації готелів та закладів розміщення,13-travnya-vidbudetsya-some-zasidannya-komisiyi-z-kategorizaciyi-goteliv-ta-zakladiv-rozmishchennya,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36afae,false,false,Wed May 12 2021 11:20:36 GMT+0000 (Coordinated Universal Time),Wed May 12 2021 11:20:36 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Wed May 12 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/609bb9e52dbe007c94e93057_%D0%B3%D0%BE%D1%82%D0%B5%D0%BB%D1%96-1205.jpg,"<p>13 травня 2021 року о 14:30 відбудеться сьоме засідання Комісії з категоризації готелів та закладів розміщення. </p><p>Повторний розгляд:</p><p>⭐⭐⭐ - 1 готель</p><p>⭐⭐⭐⭐ - 2 готелі</p><p>Вперше подалися:</p><p>⭐⭐⭐ - 6 готелів</p><p>На підтвердження категорії:</p><p>⭐⭐⭐ - 2 готелі</p><p>⭐⭐⭐⭐ - 1 готель </p><p>⭐⭐⭐⭐⭐ - 1 готель </p><p>Порядок денний доступний за посиланням: <a href=""https://cutt.ly/kbFlSIi""><strong>https://cutt.ly/kbFlSIi</strong></a></p><p>Захід транслюватиметься онлайн на офіційній Facebook-сторінці ДАРТ.</p><p>Нагадаємо, що Комісії відновила свою роботу 16 березня 2021 року. За підсумками попередніх засідань вже розглянуто 84 заяв. 44-ом готелям підтвердили їхні запити на присвоєння зірок, ще 7-ом - відмовили. Також відбулося пониження зірковості 2-ом готелям, решту - повернуто на доопрацювання документації.</p>",,false,false,
17 серпня відбудеться підписання меморандуму щодо створення 30-ти аудіогідів ,17-serpnya-vidbudetsya-pidpisannya-memorandumu-shchodo-stvorennya-audiogidiv-ukrayinskimi-kulturnimi-oseredkami,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36aff0,false,false,Mon Aug 16 2021 09:10:06 GMT+0000 (Coordinated Universal Time),Mon Aug 16 2021 09:16:03 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Mon Aug 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/611a2b3f8430e80434bfea33_%D0%BC%D0%B5%D0%BC%D0%BE%D1%80%D0%B0%D0%BD%D0%B4%D1%83%D0%BC-%D1%81%D0%B0%D0%B8%CC%86%D1%82.jpg,"<p>17 серпня 2021 року о 16:00 за ініціативи першої леді України Олени Зеленської відбудеться офіційне підписання меморандуму між Міністерством культури та інформаційної політики України, Державним агентством розвитку туризму та медіасервісом MEGOGO. <br></p><p>У межах меморандуму працюватимуть над створенням 30-ти аудіогідів українськими культурними осередками двома мовами: англійською та українською. <br></p><p><strong>Учасники: </strong></p><p>🔹Олена Зеленська, перша леді України; </p><p>🔹Олександр Ткаченко, Міністр культури та інформаційної політики України; </p><p>🔹Мар’яна Олеськів, голова Державного агентства розвитку туризму України; </p><p>🔹Іван Шестаков, директор зі стратегічного розвитку MEGOGO.<br></p><p>Під час заходу спікери розкажуть про проєкти, що дають поштовх для розвитку українського туризму, підтримують та формують культурну спадщину, відкривають Україну світу. &nbsp;<br></p><p><strong>Дата</strong>: 17 серпня 2021 року</p><p><strong>Час</strong>: 16:00</p><p><strong>Адреса</strong>: вул. Михайла Грушевського, 5А, Маріїнський палац <br></p><p><strong>❗️Увага❗️</strong> Вхід на територію Маріїнського палацу виключно за попередніми списками та за умови пред’явлення паспорту. <br></p><p>📩 Акредитація для медіа за посиланням: <a href=""https://cutt.ly/sQZxtJC"">https://cutt.ly/sQZxtJC</a></p>",,false,false,
У пошуках власного коріння: перспективи розвитку генеалогічного туризму в Україні,18-bereznya-vidbudetsya-onlayn-konferenciya-shchodo-perspektiv-rozvitku-genealogichnogo-turizmu-v-ukrayini,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36af86,false,false,Tue Mar 16 2021 16:31:14 GMT+0000 (Coordinated Universal Time),Thu Mar 18 2021 20:33:28 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Tue Mar 16 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/6050de3b9bb3493bc21e662c_conf-site.jpg,"<p>18 березня 2021 року о 16:00 відбудеться онлайн-конференція «У пошуках власного коріння: перспективи розвитку генеалогічного туризму в Україні». </p><p>Спікери: </p><p>- Мар'яна Олеськів, Голова Державного агентства розвитку туризму України;</p><p>- Роман Піняжко, Доцент кафедри нормальної фізіології ЛНМУ ім. Д. Галицького, дипломований екскурсовод міста Лева;</p><p>- Вінсент Ріс, Генеральний директор Cobblestone Freeway Tour;</p><p>- Сергій Фазульянов, Генеалог, експерт у галузі генеалогічних досліджень; </p><p>- Анатолій Хромов, Голова Державної архівної служби України. </p><p>Під час заходу презентуватимуть перспективи розвитку генеалогічного туризму в Україні, запровадження культурних, економічних та освітніх проєктів між Україною та державами, де проживають вихідці з її територій.</p><p>Також говоритимуть про удосконалення досвіду та інфраструктури для створення позитивного генеалогічного процесу для українців з усього світу, які прагнуть з'єднатись з Батьківщиною своїх батьків. </p><p>Конференція транслюватиметься в онлайн-режимі на офіційній сторінці Facebook ДАРТ. Відмічайтеся за посиланням, щоб не пропустити <a href=""https://cutt.ly/RzX8ogv?fbclid=IwAR2AABD5vNGr2MKHsgusIA-1ETUfK2x7o1HpnxWUrufSRXj42j0okYnJX0k"" target=""_blank"">https://cutt.ly/RzX8ogv</a></p><p><a href=""https://www.facebook.com/archives.ua/?__cft__[0]=AZWGPpvtv52J_AGl3VrLzPBW3noMInesxZSJYjHopzO8rijCcNIuiA_2SoOaR2G_Ti4Q8ia7OrjtoUxt6PU3YzSqAXULT-HX8nUAma_vpJANPja06OIBd1o1Unn3sRXTq7BZCPfyNT8c5Q1Mk_6VT6lBfFJIy0JuWWG0vSbNY3jsow&__tn__=kK-R"">Державна архівна служба України</a></p><figure class=""w-richtext-figure-type-image w-richtext-align-fullwidth"" style=""max-width:1920px"" data-rt-type=""image"" data-rt-align=""fullwidth"" data-rt-max-width=""1920px""><div><img src=""https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/6050f241dfe42a566ac29cb0_conf-10.jpg"" loading=""lazy""></div></figure>",,false,false,
23 листопада в Дніпрі відбудеться «Регіональна туристична конференція. Діпропетровщина»,23-listopada-v-dnipri-vidbudetsya-regionalna-turistichna-konferenciya-dipropetrovshchina,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36b028,false,false,Thu Nov 18 2021 14:34:58 GMT+0000 (Coordinated Universal Time),Thu Nov 18 2021 14:34:58 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Wed Nov 17 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/61966467c953e3193aebc11e_%D0%94%D0%BD%D1%96%D0%BF%D1%80%D0%BE-%D0%BF%D0%BE%D1%81%D1%82.jpg,"<p>23 листопада об 10:00 в Дніпрі відбудеться друга з серії «Регіональна туристична конференція. Діпропетровщина», організована Державним агентством розвитку туризму України. </p><p>У заході візьмуть участь представники ДАРТ, Дніпропетровської, Харківської та Запорізької ОДА, місцевих державних органів влади, навколишніх ОТГ та туристичного бізнесу. </p><p>Під час конференції відбудеться обговорення нового Закону України «Про туризм» та планів роботи ДАРТ, законодавчого закріплення поняття Організацій з маркетингу дестинацій (Destination Management Organization) та Національної туристичної організаціїй та їх організаційно правової форми. </p><p>Головною метою заходів є створення Комісії із туризму при ДАРТ, учасниками якої зможуть стати представники організацій (Асоціації, ГС, ГО, Туристичні кластері тощо), які консолідують туристичний бізнес України в областях. Організаціям, що бажають взяти участь у регіональних конференціях, як представники таких об’єднань, необхідно заповнити форму реєстрації: <a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fforms.gle%2FrD1zRe26LrdmmjqR6%3Ffbclid%3DIwAR1sH12_s6KD5L-6UP452PlpIfEVQ69MX3D5vkbuiTMkB9CkLS78bD1lBgw&h=AT34o9tJY5WuwUWQScMHGJUkQT-hzHTk5HR805TzrtgeYWZSo_hVdHVoSneq8VzcJPDLRW8KcMw10kJN40veyHMDarqmD4YIFlDxScXmlS9qWd4-vjAGsCohvuEPTMbuDJbx9xOcpA&__tn__=-UK-R&c[0]=AT25FrPyNNVBOySqmXkuCVnbLXnPLe0nOHarJSF5QB4eESuL4R3JbyukcMweSdqjiOcPqxYpaqzkYM19u3ZUVhLlCWl27ANlg-PMLGzu9fiP_ySB5HEueCVLV7DWcRhytLtMB88E1STuxZ-EbJS1vNx1ofcEmLpgpDUbGzaLAxlQP837iNsefPeZ1uTK-d52FJ-yQg"" target=""_blank"">https://forms.gle/rD1zRe26LrdmmjqR6</a></p><p>Представникам туристичного ринку, що бажають відвідати туристичний захід у регіоні потрібно заповнити форму за посиланням: <a href=""https://l.facebook.com/l.php?u=https%3A%2F%2Fcutt.ly%2FzTmTIvR%3Ffbclid%3DIwAR3DRI-sPZlnzSgmCQwwLs6oecwj6xpgjNhLEtwbivRwaehxb8SCO1ClcPk&h=AT2XOvhFgj-dPfgijnQSIJeTWfzqJKP_KHOG_CY51_SZaO7CwH2AQHJeEKDvZ9OF35kTugsAfKWGfWLEG7ZHQ0tzZPDAO6af9gH5tbP9C85Qik38ENAAWQwlOVUusiSXfnrtG5UrXA&__tn__=-UK-R&c[0]=AT25FrPyNNVBOySqmXkuCVnbLXnPLe0nOHarJSF5QB4eESuL4R3JbyukcMweSdqjiOcPqxYpaqzkYM19u3ZUVhLlCWl27ANlg-PMLGzu9fiP_ySB5HEueCVLV7DWcRhytLtMB88E1STuxZ-EbJS1vNx1ofcEmLpgpDUbGzaLAxlQP837iNsefPeZ1uTK-d52FJ-yQg"" target=""_blank"">https://cutt.ly/zTmTIvR</a></p><p>У зв'язку із карантинними умовами проведення заходів кількість учасників обмежена. Участь у заході оффлайн можлива виключно за наявності COVID-сертифіката або негативного результату ПЛР- чи експрес-тесту. </p><p>Реєстрація учасників починається з 09:30 год.</p><p>Додатково повідомляємо, що захід транслюватиметься онлайн на Facebook-сторінці ДАРТ.</p>",,false,false,
23 серпня — День Державного Прапора України,23-serpnya----den-derzhavnogo-prapora-ukrayini,64b680cfc9ad6b5c6f36adfe,66cc4bd668cc9204b537abd2,false,false,Mon Aug 26 2024 09:33:10 GMT+0000 (Coordinated Universal Time),Mon Aug 26 2024 09:33:26 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Fri Aug 23 2024 05:15:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/66cc4bc11f168ab1ded5b495_%D0%94%D0%B5%D0%BD%D1%8C%20%D0%BF%D1%80%D0%B0%D0%BF%D0%BE%D1%80%D0%B0.png,"<p id="""">Наш синьо-жовтий стяг є символом незламності, свободи та єдності українського народу. Він об'єднує нас у боротьбі, додає сил у випробуваннях та надихає на нові звершення.</p><p id="""">Державний Прапор - один з офіційних державних символів суверенітету держави. Український Державний Прапор - стяг із двох рівновеликих горизонтальних смуг синього і жовтого кольору.</p><p id="""">Перше офіційне визнання синьо-жовтого прапора як нашого національного символу відбулося 22 березня 1918 р. − Центральна Рада ухвалила Закон, затвердивши поєднання жовтого і блакитного кольорів як прапор Української Народної Республіки.</p><p id="""">У 1938−1939 рр. синьо-жовтий стяг був прапором Карпатської України, у 1941 р. – Української Держави.</p><p id="""">26 квітня 1989 р. у Львові під українським прапором відбувся мітинг пам’яті жертв Чорнобильської трагедії. 22 травня 1989 р. у Києві на закритті Шевченківського свята було піднято національний прапор. 23 березня 1990 р. він з’явився над Тернопільською міськрадою, а 3 квітня 1990 р. − над Львівською міськрадою.</p><p id="""">24 липня 1990 р. у Києві синьо-жовтий прапор був урочисто піднятий над будинком міської ради. Полотнище було попередньо освячено в Софійському соборі владикою Володимиром і настоятелем храму Бориса і Гліба Української автокефальної церкви отцем Юрієм.</p><p id="""">24 серпня, після проголошення Акту незалежності України, група народних депутатів внесла синьо-жовтий український прапор до сесійної зали Верховної Ради.</p><p id="""">Державний Прапор як символ країни є втіленням національної єдності, честі та гідності, традицій державотворення, історії та сьогодення. </p><p id="""">Слава Україні! Героям Слава!</p>",,false,false,
УВАГА: пресконференція з Головою ДАРТ щодо категоризації готелів переноситься на 25 травня,24-travnya-v-ukrinformi-vidbudetsya-preskonferenciya-z-golovoyu-dart-shchodo-kategorizaciyi-goteliv,64b680cfc9ad6b5c6f36adfe,64b680cfc9ad6b5c6f36afb6,false,false,Fri May 21 2021 09:16:56 GMT+0000 (Coordinated Universal Time),Mon May 24 2021 05:39:27 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),Fri May 21 2021 00:00:00 GMT+0000 (Coordinated Universal Time),,https://uploads-ssl.webflow.com/5fe0d92bbc950c2267f450c4/60ab3c067be1842babde4eb8_%D1%81%D0%B0%D0%B8%CC%86%D1%8202.jpg,"<p><a href=""https://telegra.ph/file/155a45c91efeb6c307b62.jpg"">❗️</a><strong>УВАГА</strong>❗️Переноситься пресконференція голови Державного агентства розвитку туризму Мар’яни Олеськів та Президента ГО «Ukrainian Hotel &amp; Resort Association» Ірини Сідлецької на тему «Категоризація закладів розміщення: перші висновки».<br></p><p>⭐ Нова дата: <strong>25 травня 2021 року о 13:00.</strong></p><p>☝Під час пресконференції будуть презентовані перші висновки за результатами роботи Комісії з категоризації готелів та закладів розміщення.⁉️ Учасники пресконференції розкажуть, які основні помилки допускають органи сертифікації та заклади розміщення під час підготовки документів, чого саме не вистачає готельній інфраструктурі в Україні та які зміни чекають щодо застосування ДСТУ 4269:2003 Національного стандарту «Послуги туристичні. Класифікація готелів».</p><p>🏠 Адреса: «УКРІНФОРМ», вул. Б. Хмельницького, 8/16 (ст. м. «Театральна»).</p><p>❗️Акредитація журналістів: press@tourism.gov.ua </p><p>📱Координатор заходу Флюнт Соломія Остапівна моб. тел: 063-030-44-98; E-mail: sf@tourism.gov.ua </p><p>🎦 Захід транслюватиметься на сайті та YouTube-каналі Укрінформу: <a href=""https://www.youtube.com/user/UkrinformTV"">https://www.youtube.com/user/UkrinformTV</a></p>",,false,false,
