Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,description,parent,index
Адміністративний сектор,administrativniy-viddil,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0ac,false,false,Wed Jun 28 2023 13:21:18 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:51:56 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),Основним завданням Адміністративного сектору є організаційне і методологічне забезпечення ефективної роботи Державного агентства розвитку туризму України.,,6
Сектор фінансів та бюджету ,finances,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b09d,false,false,Wed Jun 28 2023 10:59:30 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:51:29 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),Основним завданням Сектору фінансів та бюджету є організація бухгалтерського обліку і звітності у системі Державного агентства розвитку туризму України.,,8
Головний спеціаліст з питань запобігання та виявлення корупції,golovniy-specialist-z-pitan-zapobigannya-ta-viyavlennya-korupciyi,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0b3,false,false,Wed Jun 28 2023 13:26:44 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:55:43 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:55:43 GMT+0000 (Coordinated Universal Time),"Основним завданням є впровадження та реалізація заходів щодо запобігання та виявлення корупційних правопорушень та правопорушень, пов’язаних з корупцією.",,11
Головний спеціаліст з питань координації внутрішнього контролю,golovniy-specialist-z-vnutrishnogo-kontrolyu,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0b5,false,false,Wed Jun 28 2023 13:28:14 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:52:21 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Організація та здійснення внутрішнього контролю в Державному агентстві розвитку туризму України та на підприємствах, в установах та організаціях, що належать до сфери його управління.",,12
Сектор правового забезпечення,lawyers-dept,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0a0,false,false,Wed Jun 28 2023 10:59:30 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:51:48 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Основним завданням Сектору правового забезпечення є організація правової роботи, спрямованої на правильне застосування, неухильне дотримання та запобігання невиконанню вимог законодавства, інших нормативних актів ДАРТ, його керівництвом та працівниками під час виконання покладених на них завдань і функціональних обов'язків, а також представлення інтересів ДАРТ в судах.",,7
КЕРІВНИЦТВО,management,64b680cfc9ad6b5c6f36adff,64ec951aeff0cdeacda97a5b,false,false,Mon Aug 28 2023 12:37:46 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:44:57 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:44:57 GMT+0000 (Coordinated Universal Time),management is manage our agency,,1
Сектор надання публічних послуг,sector-of-public-service,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b09f,false,false,Wed Jun 28 2023 10:59:30 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:51:37 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Основним завданням Сектору надання публічних послуг є забезпечення діяльності Державного агентства розвитку туризму України у сфері ліцензування туроператорської діяльності, координації курортів та категоризації об’єктів туристичної інфраструктури.",,5
Сектор міжнародної співпраці та протоколу,sektor-mizhnarodnoyi-spivpraci-ta-protokolu,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0af,false,false,Wed Jun 28 2023 13:23:31 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:52:03 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Основним завданням Сектору міжнародної співпраці та протоколу є забезпечення координації та взаємодії з питань міжнародного міжвідомчого співробітництва Державного агентства розвитку туризму України з органами виконавчої влади України, дипломатичними представництвами іноземних держав та міжнародних організацій в Україні та за кордоном; міністерствами туризму, державними агентствами, установами та компаніями іноземних держав та їхніми представництвами в Україні.",,9
Сектор управління персоналу,sektor-upravlinnya-personalu,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0b0,false,false,Wed Jun 28 2023 13:24:05 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:52:14 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Основним завданням Сектору управління персоналу є забезпечення реалізації державної політики у сфері державної служби та з питань кадрової роботи; здійснення аналітичної та організаційної роботи з кадрового менеджменту; задоволення потреби в кваліфікованих кадрах та їх ефективне використання; прогнозування розвитку персоналу, заохочення працівників до службової кар’єри, забезпечення їх безперервного навчання; організація і здійснення підготовки та підвищення кваліфікації кадрів і кадрового резерву, забезпечення їх безперервного навчання; документальне оформлення проходження державної служби та трудових відносин.",,10
Відділ розвитку регіональних туристичних продуктів,tourism-dev-dep,64b680cfc9ad6b5c6f36adff,64ec95725fd063af9bc2cb1e,false,false,Mon Aug 28 2023 12:39:14 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:45:34 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:54:39 GMT+0000 (Coordinated Universal Time),"Основним завданням Відділу розвитку регіональних туристичних продуктів є забезпечення діяльності Державного агентства розвитку туризму України у сфері розробки та виконання проектів з розвитку туристичної сфери. Аналітика та розвиток туризму і курортів. Вдосконалення умов туристичної сфери, що сприятимуть збільшенню потоків туристів.",management,2
Відділ маркетингу,viddil-marketingu,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0ae,false,false,Wed Jun 28 2023 13:22:55 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:46:20 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:46:20 GMT+0000 (Coordinated Universal Time),"Основним завданням Відділу маркетингу є здійснення заходів щодо підвищення конкурентоспроможності туристичного ринку, в тому числі заходи, пов’язані з інтеграцією національного туристичного ринку в єдиний європейський туристичний простір; надання пропозицій та залучення до проведення досліджень туристичного ринку, підготовки та поширення інформації про Україну і її туристичні можливості на міжнародному туристичному ринку та всередині держави, зокрема шляхом організації презентацій про туристичні можливості України, робочих нарад, конференцій, семінарів тощо, а також участі у виставкових заходах як в Україні, так і за кордоном",,4
Відділ розвитку туризму та цифровізації ,viddil-tourism-development-and-digitalization,64b680cfc9ad6b5c6f36adff,64b680cfc9ad6b5c6f36b0b2,false,false,Wed Jun 28 2023 13:25:55 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:45:59 GMT+0000 (Coordinated Universal Time),Wed Jan 29 2025 08:45:59 GMT+0000 (Coordinated Universal Time),"Основним завданням Відділу є забезпечення діяльності ДАРТ у сфері розробки та виконання проектів з розвитку туристичної сфери а також реалізація державної політики у сфері цифровізації, сприяння впровадження цифрового розвитку на державному рівні у сфері туризму.",management,3
