Name,Slug,Collection ID,Item ID,Archived,Draft,Created On,Updated On,Published On,link
Генеральний директор   Державного підприємства «Україна туристична»,generalniy-direktor-derzhavnogo-pidpriiemstva-ukrayina-turistichna,65e8e861a8cdca5cfa03ed6b,6985b124f38207a5343e6d42,false,false,Fri Feb 06 2026 09:15:16 GMT+0000 (Coordinated Universal Time),Fri Feb 06 2026 09:21:52 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 07:18:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6985b13360d3421d7b648c42_general.pdf
Головний спеціаліст Сектору фінансів та  бюджету ,golovniy-specialist-sektoru-finansiv-ta-byudzhetu,65e8e861a8cdca5cfa03ed6b,69492111001c835d413eba83,false,false,Mon Dec 22 2025 10:44:33 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 10:46:08 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 12:30:37 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6949208ebd9c88e6cf3ab161_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D1%81%D0%BF%D0%B5%D1%86%20%D0%B1%D1%83%D1%85%D0%B3%D0%B0%D0%BB%D1%82%D0%B5%D1%80.pdf
Головний спеціаліст Сектору міжнародної співпраці та протоколу,golovniy-specialist-sektoru-mizhnarodnoyi-spivpraci-ta-protokolu,65e8e861a8cdca5cfa03ed6b,6985a41d613d294a01f42f01,false,false,Fri Feb 06 2026 08:19:41 GMT+0000 (Coordinated Universal Time),Fri Feb 06 2026 08:21:22 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 07:18:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6985a308ce2931ae7497f430_intercoop.pdf
Головний спеціаліст Відділу розвитку туризму та цифровізації,golovniy-specialist-viddilu-rozvitku-turizmu-ta-cifrovizaciyi,65e8e861a8cdca5cfa03ed6b,67adb1c593d78f454e717697,false,true,Thu Feb 13 2025 08:48:05 GMT+0000 (Coordinated Universal Time),Tue Mar 18 2025 21:13:37 GMT+0000 (Coordinated Universal Time),,https://drive.google.com/file/d/1thA-qd4LHSeG1LA9VrsxIvoCQ92SPXIk/view?usp=sharing
Головний спеціаліст з питань запобігання та  виявлення корупції ,golovniy-specialist-z-pitan-zapobigannya-ta-viyavlennya-korupciyi,65e8e861a8cdca5cfa03ed6b,6949206105f965b3e7b458ff,false,false,Mon Dec 22 2025 10:41:37 GMT+0000 (Coordinated Universal Time),Mon Dec 22 2025 10:43:07 GMT+0000 (Coordinated Universal Time),Thu Jan 08 2026 12:30:37 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6949208e2b61779ed39ecf2c_%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D1%81%D0%BF%D0%B5%D1%86%20%D0%B7%20%D0%B7%D0%B0%D0%BF%D0%BE%D0%B1%D1%96%D0%B3%D0%B0%D0%BD%D0%BD%D1%8F%20%D1%82%D0%B0%20%D0%B2%D0%B8%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%BD%D1%8F%20%D0%BA%D0%BE%D1%80%D1%83%D0%BF%D1%86%D1%96%D1%97.pdf
Головний спеціаліст з внутрішнього аудиту,golovniy-specialist-z-vnutrishnogo-auditu,65e8e861a8cdca5cfa03ed6b,66e1a3a91dea7ecee66f75d4,false,false,Wed Sep 11 2024 14:05:29 GMT+0000 (Coordinated Universal Time),Wed Sep 11 2024 14:05:29 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),https://drive.google.com/file/d/19LlDTtwgo3Qcm7HgK8JOSClzlP8RfaFs/view?usp=drive_link
Начальник Відділ розвитку регіональних туристичних продуктів,nachalnik-viddil-rozvitku-regionalnih-turistichnih-produktiv,65e8e861a8cdca5cfa03ed6b,6985a293d72b959b38c7298e,false,false,Fri Feb 06 2026 08:13:07 GMT+0000 (Coordinated Universal Time),Fri Feb 06 2026 08:20:22 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 07:18:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6985a308d72b959b38c73d96_regions.pdf
Начальник Відділу маркетингу,nachalnik-viddilu-marketingu,65e8e861a8cdca5cfa03ed6b,65e8ec7751c5ef1b32df161a,false,false,Wed Mar 06 2024 22:21:43 GMT+0000 (Coordinated Universal Time),Wed Sep 11 2024 14:06:49 GMT+0000 (Coordinated Universal Time),Tue Dec 31 2024 12:08:23 GMT+0000 (Coordinated Universal Time),https://drive.google.com/file/d/17DTUasLfHv2wmExARzVO_C_wE293v6wc/view?usp=sharing
Завідувач Адміністративного сектору,zaviduvach-administrativnogo-sektoru,65e8e861a8cdca5cfa03ed6b,6985a3ff3ea36af41255a4ed,false,false,Fri Feb 06 2026 08:19:11 GMT+0000 (Coordinated Universal Time),Fri Feb 06 2026 08:20:56 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 07:18:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6985a307a500a0f278fce359_admin.pdf
Завідувач Сектору міжнародної співпраці та протоколу,zaviduvach-sektoru-mizhnarodnoyi-spivpraci-ta-protokolu,65e8e861a8cdca5cfa03ed6b,6985a3d7526d9f57cda91b6b,false,false,Fri Feb 06 2026 08:18:31 GMT+0000 (Coordinated Universal Time),Fri Feb 06 2026 08:18:36 GMT+0000 (Coordinated Universal Time),Tue Feb 10 2026 07:18:30 GMT+0000 (Coordinated Universal Time),https://cdn.prod.website-files.com/5fe0d678b18d7e19e32c3389/6985a3085fe8ae9ce8f2a8a3_zav-sector.pdf
